episode,reward,avg_reward,epsilon,duration
79,-171.31855196729305,-25614.874907112026,0.6730128848950395,0.6625802516937256
80,-613.7927971169352,-25302.36138073708,0.6696478204705644,0.3392975330352783
81,-395.3056498602032,-24994.866865541066,0.6662995813682115,0.4583556652069092
82,-635.455538405478,-24697.80087374673,0.6629680834613705,0.5007953643798828
83,-67.0493978135288,-24401.04483186802,0.6596532430440636,0.3151118755340576
84,-65646.01774585099,-24892.056414177343,0.6563549768288433,5.103392124176025
85,-453.68953363075855,-24604.54621558268,0.653073201944699,0.5075163841247559
86,-520.2099553480743,-24324.495793952043,0.6498078359349755,0.3273117542266845
87,-101957.8048981972,-25216.83268020773,0.6465587967553006,5.099782705307007
88,-767.5283679537474,-24938.999676659387,0.6433260027715241,0.2487032413482666
89,-165.83593973368409,-24660.649522311905,0.6401093727576664,0.5519149303436279
90,-414.5776991456747,-24391.248724276727,0.6369088258938781,0.4958815574645996
91,-1498.7698363125323,-24139.68302221119,0.6337242817644086,0.3480119705200195
92,-295.48680437207213,-23880.50697636511,0.6305556603555866,0.1743834018707275
93,-287.2450196057557,-23626.815987582755,0.6274028820538087,0.1791133880615234
94,-595.9808570876717,-23381.807103215782,0.6242658676435396,0.1937282085418701
95,-292.7172321140765,-23138.76405194103,0.6211445383053219,0.4795999526977539
96,-61.91227082759144,-22898.38017922109,0.6180388156137953,0.6037135124206543
97,-239.64704435169688,-22664.78499226368,0.6149486215357263,0.2797493934631347
98,-149.64560576006772,-22435.03867199324,0.6118738784280476,0.3668358325958252
99,-533.3105496861041,-22213.80909500024,0.6088145090359074,0.4491965770721435
100,-736.0229275882243,-21999.03123332612,0.6057704364907278,0.1977863311767578
101,-103.02633532732727,-21997.820028738115,0.6027415843082742,0.596991777420044
102,-419.7065043993293,-21997.979100813187,0.5997278763867329,0.3824319839477539
103,-198.56617794036868,-20610.14372431501,0.5967292370047992,0.3873465061187744
104,-173.83244114220145,-20609.10674440931,0.5937455908197752,0.4444127082824707
105,-337.05384808257224,-19172.57257991,0.5907768628656763,0.8580396175384521
106,-68955.79957069308,-19843.635624784667,0.5878229785513479,5.096877813339233
107,-162.07267827391627,-19841.595338368254,0.5848838636585911,0.4318668842315674
108,-205.32158966213467,-19838.0651885018,0.5819594443402982,1.0966079235076904
109,-70582.61648591832,-20538.485268249347,0.5790496471185967,5.104363679885864
110,-53255.584940696506,-19798.86108461293,0.5761543988830038,5.071039199829102
111,-66280.18948456497,-20454.667365485264,0.5732736268885887,5.044038057327271
112,-242.2848619356752,-20453.37352934309,0.5704072587541458,0.7775368690490723
113,-631.8163842692971,-20454.96300994635,0.567555222460375,1.5781371593475342
114,-27002.1990781039,-20716.86553411901,0.5647174463480732,5.020413398742676
115,-64397.5373281002,-21354.35327364735,0.5618938591163328,5.026671648025513
116,-552.4303558081389,-21353.52163647803,0.5590843898207511,2.2569425106048584
117,-46239.42855622284,-21814.92218364016,0.5562889678716474,5.035617351531982
118,-251.10477323122325,-21806.197716048235,0.5535075230322891,1.5170626640319824
119,592.5021276153624,-21798.76636201544,0.5507399854171277,1.3772003650665283
120,-281.2914071775973,-21790.26288913591,0.547986285490042,0.4717962741851806
121,-401.3906660929322,-20492.56859270605,0.5452463540625918,1.4142045974731443
122,-333.49512190409007,-20491.4826348975,0.5425201222922789,1.6526691913604736
123,-197.5473728172481,-20490.14865027347,0.5398075216808175,1.077204704284668
124,-2058.833962035552,-20507.309075920584,0.5371084840724134,5.056263446807861
125,-478.3482184357941,-20507.653418693622,0.5344229416520513,1.050236463546753
126,-236.605091842264,-20505.181283312257,0.531750826943791,1.2181179523468018
127,-199.23508174195885,-19154.277197745483,0.5290920728090721,0.7400083541870117
128,-277.43741594925524,-19152.00938147404,0.5264466124450268,1.1949284076690674
129,-210.95312015376987,-19144.67229452694,0.5238143793828016,0.7810256481170654
130,-485.3792157009244,-19141.88938996742,0.5211953074858876,0.6362886428833008
131,-363.5833348989487,-17908.331985204728,0.5185893309484582,1.0014400482177734
132,-222.23754382357004,-16731.82071868247,0.5159963842937159,1.3238232135772705
133,-316.31477619931104,-16732.44111956692,0.5134164023722473,1.4547855854034424
134,-270.44925725311043,-16732.74449689305,0.510849320360386,0.701214075088501
135,-136.10591269880535,-16729.208363020323,0.5082950737585841,0.5655410289764404
136,-159.27192418500783,-16723.378183826895,0.5057535983897912,0.7525079250335693
137,-255.156028611958,-15404.713693845955,0.5032248303978422,1.399390697479248
138,-84.47028894200923,-15398.681247948009,0.500708706245853,0.3669369220733642
139,-99.66640259549024,-15389.01987827384,0.4982051627146237,0.4172835350036621
